Laiks,Pulss_BPM,RR_Intervali_ms,Stavoklis
20:53:51,79,[722],0,74
20:53:52,81,"[706, 550]",156.0,76
20:53:53,81,[867],0,76
20:53:55,81,"[695, 694]",1.0,76
20:53:56,81,[718],0,76
20:53:56,82,[742],0,77
20:53:57,82,"[749, 726]",23.0,77
20:53:58,81,[714],0,76
20:54:00,80,[726],0,75
20:54:04,79,"[729, 769]",40.0,74
20:54:06,77,[808],0,72
20:54:07,77,[874],0,72
20:54:08,75,[886],0,70
20:54:09,75,[839],0,70
20:54:09,76,"[862, 832]",30.0,71
20:54:10,77,[772],0,72
20:54:11,78,[765],0,73
20:54:11,79,"[757, 737]",20.0,74
20:54:11,79,[738],0,74
20:54:12,80,"[734, 730]",4.0,75
20:54:12,80,[706],0,75
20:54:16,80,[710],0,75
20:54:16,79,"[742, 776]",34.0,74
20:54:17,78,[765],0,73
20:54:17,77,[804],0,72
20:54:18,77,[854],0,72
20:54:18,77,"[812, 769]",43.0,72
20:54:19,78,[772],0,73
20:54:20,77,[773],0,72
20:54:22,76,"[761, 768]",7.0,71
20:54:22,76,[808],0,71
20:54:25,76,[847],0,71
20:54:25,76,[807],0,71
20:54:25,76,[812],0,71
20:54:26,77,"[808, 796]",12.0,72
20:54:27,78,[745],0,73
20:54:28,80,[742],0,75
20:54:29,80,"[742, 745]",3.0,75
20:54:30,78,"[359, 386]",27.0,73
20:54:31,77,[765],0,72
20:54:32,76,"[799, 800]",1.0,71
20:54:33,76,[867],0,71
20:54:35,75,[874],0,70
20:54:35,78,[832],0,73
20:54:37,78,[820],0,73
20:54:39,78,"[784, 464, 355]",239.04079149802027,73
20:54:40,78,[],0,73
20:54:46,78,[],0,73
20:54:46,78,[],0,73
20:54:48,79,[],0,74
20:54:48,79,[],0,74
20:54:48,78,[644],0,73
20:54:50,80,[],0,75
20:54:51,82,"[914, 289]",625.0,77
20:54:51,82,"[441, 398]",43.0,77
20:54:51,82,[390],0,77
20:54:51,82,[],0,77
20:54:52,82,[],0,77
20:54:52,82,[],0,77
20:54:53,82,[],0,77
20:54:54,82,[694],0,77
20:54:55,83,[675],0,78
